epoch,EG_L1_loss,G_tv_loss,G_img_loss,Ez_loss,D_loss,Dz_loss,D_img,D_z,D_z_prior,D_reconst
72,"tensor(0.0580, device='cuda:0')","tensor(0.0055, device='cuda:0')","tensor(11.9226, device='cuda:0')","tensor(0.9468, device='cuda:0')","tensor(0.0024, device='cuda:0')","tensor(1.4003, device='cuda:0')","tensor(0.9998, device='cuda:0')","tensor(0.4256, device='cuda:0')","tensor(0.4694, device='cuda:0')","tensor(0.0022, device='cuda:0')"
73,"tensor(0.0620, device='cuda:0')","tensor(0.0042, device='cuda:0')","tensor(9.3093, device='cuda:0')","tensor(0.8870, device='cuda:0')","tensor(0.0389, device='cuda:0')","tensor(1.4118, device='cuda:0')","tensor(0.9742, device='cuda:0')","tensor(0.4394, device='cuda:0')","tensor(0.4992, device='cuda:0')","tensor(0.0103, device='cuda:0')"
74,"tensor(0.0528, device='cuda:0')","tensor(0.0040, device='cuda:0')","tensor(8.6574, device='cuda:0')","tensor(0.8127, device='cuda:0')","tensor(0.2438, device='cuda:0')","tensor(1.1458, device='cuda:0')","tensor(0.8461, device='cuda:0')","tensor(0.4603, device='cuda:0')","tensor(0.6319, device='cuda:0')","tensor(0.0038, device='cuda:0')"
75,"tensor(0.0530, device='cuda:0')","tensor(0.0047, device='cuda:0')","tensor(11.6971, device='cuda:0')","tensor(1.0406, device='cuda:0')","tensor(0.0487, device='cuda:0')","tensor(1.0334, device='cuda:0')","tensor(0.9597, device='cuda:0')","tensor(0.3756, device='cuda:0')","tensor(0.6110, device='cuda:0')","tensor(0.0002, device='cuda:0')"
76,"tensor(0.0556, device='cuda:0')","tensor(0.0059, device='cuda:0')","tensor(10.4267, device='cuda:0')","tensor(1.0393, device='cuda:0')","tensor(0.0262, device='cuda:0')","tensor(1.3036, device='cuda:0')","tensor(0.9889, device='cuda:0')","tensor(0.3991, device='cuda:0')","tensor(0.4785, device='cuda:0')","tensor(0.0143, device='cuda:0')"
77,"tensor(0.0656, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(13.2564, device='cuda:0')","tensor(0.8674, device='cuda:0')","tensor(0.0018, device='cuda:0')","tensor(1.3292, device='cuda:0')","tensor(0.9983, device='cuda:0')","tensor(0.4489, device='cuda:0')","tensor(0.5509, device='cuda:0')","tensor(0.0000, device='cuda:0')"
78,"tensor(0.0559, device='cuda:0')","tensor(0.0051, device='cuda:0')","tensor(9.8542, device='cuda:0')","tensor(0.7791, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(1.2697, device='cuda:0')","tensor(0.9988, device='cuda:0')","tensor(0.4699, device='cuda:0')","tensor(0.5527, device='cuda:0')","tensor(0.0067, device='cuda:0')"
79,"tensor(0.0525, device='cuda:0')","tensor(0.0049, device='cuda:0')","tensor(7.0209, device='cuda:0')","tensor(0.8581, device='cuda:0')","tensor(0.0443, device='cuda:0')","tensor(1.1642, device='cuda:0')","tensor(0.9918, device='cuda:0')","tensor(0.4495, device='cuda:0')","tensor(0.6246, device='cuda:0')","tensor(0.0334, device='cuda:0')"
80,"tensor(0.0702, device='cuda:0')","tensor(0.0061, device='cuda:0')","tensor(14.4235, device='cuda:0')","tensor(0.8558, device='cuda:0')","tensor(0.0002, device='cuda:0')","tensor(1.1437, device='cuda:0')","tensor(0.9999, device='cuda:0')","tensor(0.4375, device='cuda:0')","tensor(0.5876, device='cuda:0')","tensor(0.0001, device='cuda:0')"
81,"tensor(0.0570, device='cuda:0')","tensor(0.0044, device='cuda:0')","tensor(6.6611, device='cuda:0')","tensor(0.8880, device='cuda:0')","tensor(0.0302, device='cuda:0')","tensor(1.2551, device='cuda:0')","tensor(0.9999, device='cuda:0')","tensor(0.4287, device='cuda:0')","tensor(0.5311, device='cuda:0')","tensor(0.0279, device='cuda:0')"
82,"tensor(0.0656, device='cuda:0')","tensor(0.0048, device='cuda:0')","tensor(9.3553, device='cuda:0')","tensor(0.7229, device='cuda:0')","tensor(0.0488, device='cuda:0')","tensor(1.3222, device='cuda:0')","tensor(0.9976, device='cuda:0')","tensor(0.4935, device='cuda:0')","tensor(0.5491, device='cuda:0')","tensor(0.0419, device='cuda:0')"
83,"tensor(0.0575, device='cuda:0')","tensor(0.0053, device='cuda:0')","tensor(8.4465, device='cuda:0')","tensor(0.6311, device='cuda:0')","tensor(0.0121, device='cuda:0')","tensor(1.5290, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0.5560, device='cuda:0')","tensor(0.5404, device='cuda:0')","tensor(0.0099, device='cuda:0')"
84,"tensor(0.0578, device='cuda:0')","tensor(0.0043, device='cuda:0')","tensor(9.2920, device='cuda:0')","tensor(0.8033, device='cuda:0')","tensor(0.0029, device='cuda:0')","tensor(1.3419, device='cuda:0')","tensor(0.9990, device='cuda:0')","tensor(0.4629, device='cuda:0')","tensor(0.5182, device='cuda:0')","tensor(0.0019, device='cuda:0')"
85,"tensor(0.0631, device='cuda:0')","tensor(0.0053, device='cuda:0')","tensor(13.8128, device='cuda:0')","tensor(0.8984, device='cuda:0')","tensor(0.0014, device='cuda:0')","tensor(1.1530, device='cuda:0')","tensor(0.9986, device='cuda:0')","tensor(0.4362, device='cuda:0')","tensor(0.6129, device='cuda:0')","tensor(0.0001, device='cuda:0')"
86,"tensor(0.0549, device='cuda:0')","tensor(0.0041, device='cuda:0')","tensor(11.0562, device='cuda:0')","tensor(0.9531, device='cuda:0')","tensor(0.0219, device='cuda:0')","tensor(1.3865, device='cuda:0')","tensor(0.9955, device='cuda:0')","tensor(0.4018, device='cuda:0')","tensor(0.4511, device='cuda:0')","tensor(0.0164, device='cuda:0')"
87,"tensor(0.0548, device='cuda:0')","tensor(0.0041, device='cuda:0')","tensor(14.6063, device='cuda:0')","tensor(0.7347, device='cuda:0')","tensor(0.0158, device='cuda:0')","tensor(1.3788, device='cuda:0')","tensor(0.9850, device='cuda:0')","tensor(0.4902, device='cuda:0')","tensor(0.5404, device='cuda:0')","tensor(0.0001, device='cuda:0')"
88,"tensor(0.0594, device='cuda:0')","tensor(0.0069, device='cuda:0')","tensor(13.7710, device='cuda:0')","tensor(0.9675, device='cuda:0')","tensor(0.0205, device='cuda:0')","tensor(1.0795, device='cuda:0')","tensor(0.9817, device='cuda:0')","tensor(0.4011, device='cuda:0')","tensor(0.6034, device='cuda:0')","tensor(0.0008, device='cuda:0')"
89,"tensor(0.0574, device='cuda:0')","tensor(0.0037, device='cuda:0')","tensor(8.6129, device='cuda:0')","tensor(0.9494, device='cuda:0')","tensor(0.0013, device='cuda:0')","tensor(1.0742, device='cuda:0')","tensor(0.9997, device='cuda:0')","tensor(0.4263, device='cuda:0')","tensor(0.6215, device='cuda:0')","tensor(0.0010, device='cuda:0')"
90,"tensor(0.0591, device='cuda:0')","tensor(0.0067, device='cuda:0')","tensor(11.7582, device='cuda:0')","tensor(1.1158, device='cuda:0')","tensor(0.0127, device='cuda:0')","tensor(1.1264, device='cuda:0')","tensor(0.9880, device='cuda:0')","tensor(0.3760, device='cuda:0')","tensor(0.5489, device='cuda:0')","tensor(0.0001, device='cuda:0')"
91,"tensor(0.0480, device='cuda:0')","tensor(0.0038, device='cuda:0')","tensor(10.7164, device='cuda:0')","tensor(0.6669, device='cuda:0')","tensor(0.0058, device='cuda:0')","tensor(1.1882, device='cuda:0')","tensor(0.9959, device='cuda:0')","tensor(0.5283, device='cuda:0')","tensor(0.6844, device='cuda:0')","tensor(0.0016, device='cuda:0')"
92,"tensor(0.0614, device='cuda:0')","tensor(0.0055, device='cuda:0')","tensor(13.7540, device='cuda:0')","tensor(0.9938, device='cuda:0')","tensor(0.0592, device='cuda:0')","tensor(1.2437, device='cuda:0')","tensor(0.9476, device='cuda:0')","tensor(0.3754, device='cuda:0')","tensor(0.4902, device='cuda:0')","tensor(0.0000, device='cuda:0')"
93,"tensor(0.0534, device='cuda:0')","tensor(0.0058, device='cuda:0')","tensor(11.2025, device='cuda:0')","tensor(0.9037, device='cuda:0')","tensor(0.0016, device='cuda:0')","tensor(1.1793, device='cuda:0')","tensor(0.9988, device='cuda:0')","tensor(0.4300, device='cuda:0')","tensor(0.5759, device='cuda:0')","tensor(0.0004, device='cuda:0')"
94,"tensor(0.0523, device='cuda:0')","tensor(0.0061, device='cuda:0')","tensor(6.8762, device='cuda:0')","tensor(0.8401, device='cuda:0')","tensor(0.1548, device='cuda:0')","tensor(1.3513, device='cuda:0')","tensor(0.9930, device='cuda:0')","tensor(0.4748, device='cuda:0')","tensor(0.5325, device='cuda:0')","tensor(0.1114, device='cuda:0')"
95,"tensor(0.0513, device='cuda:0')","tensor(0.0044, device='cuda:0')","tensor(9.5767, device='cuda:0')","tensor(0.8053, device='cuda:0')","tensor(0.0051, device='cuda:0')","tensor(1.4218, device='cuda:0')","tensor(0.9958, device='cuda:0')","tensor(0.4588, device='cuda:0')","tensor(0.4677, device='cuda:0')","tensor(0.0009, device='cuda:0')"
96,"tensor(0.0586, device='cuda:0')","tensor(0.0049, device='cuda:0')","tensor(9.1769, device='cuda:0')","tensor(0.7743, device='cuda:0')","tensor(0.0021, device='cuda:0')","tensor(1.3812, device='cuda:0')","tensor(0.9998, device='cuda:0')","tensor(0.4777, device='cuda:0')","tensor(0.5089, device='cuda:0')","tensor(0.0018, device='cuda:0')"
97,"tensor(0.0562, device='cuda:0')","tensor(0.0053, device='cuda:0')","tensor(12.4879, device='cuda:0')","tensor(0.8720, device='cuda:0')","tensor(0.0043, device='cuda:0')","tensor(1.2925, device='cuda:0')","tensor(0.9958, device='cuda:0')","tensor(0.4379, device='cuda:0')","tensor(0.5221, device='cuda:0')","tensor(0.0000, device='cuda:0')"
98,"tensor(0.0571, device='cuda:0')","tensor(0.0062, device='cuda:0')","tensor(11.7009, device='cuda:0')","tensor(1.0499, device='cuda:0')","tensor(0.0023, device='cuda:0')","tensor(1.0301, device='cuda:0')","tensor(0.9999, device='cuda:0')","tensor(0.3633, device='cuda:0')","tensor(0.5755, device='cuda:0')","tensor(0.0023, device='cuda:0')"
99,"tensor(0.0498, device='cuda:0')","tensor(0.0053, device='cuda:0')","tensor(15.6659, device='cuda:0')","tensor(0.7687, device='cuda:0')","tensor(0.0176, device='cuda:0')","tensor(1.4156, device='cuda:0')","tensor(0.9835, device='cuda:0')","tensor(0.4798, device='cuda:0')","tensor(0.5062, device='cuda:0')","tensor(1.9434e-06, device='cuda:0')"
100,"tensor(0.0525, device='cuda:0')","tensor(0.0055, device='cuda:0')","tensor(10.0259, device='cuda:0')","tensor(0.8616, device='cuda:0')","tensor(0.0055, device='cuda:0')","tensor(1.4893, device='cuda:0')","tensor(0.9958, device='cuda:0')","tensor(0.4440, device='cuda:0')","tensor(0.4520, device='cuda:0')","tensor(0.0013, device='cuda:0')"
101,"tensor(0.0539, device='cuda:0')","tensor(0.0039, device='cuda:0')","tensor(8.2522, device='cuda:0')","tensor(0.6714, device='cuda:0')","tensor(0.0596, device='cuda:0')","tensor(1.4568, device='cuda:0')","tensor(0.9996, device='cuda:0')","tensor(0.5241, device='cuda:0')","tensor(0.5273, device='cuda:0')","tensor(0.0510, device='cuda:0')"
102,"tensor(0.0643, device='cuda:0')","tensor(0.0051, device='cuda:0')","tensor(13.3276, device='cuda:0')","tensor(0.8081, device='cuda:0')","tensor(0.0004, device='cuda:0')","tensor(1.4714, device='cuda:0')","tensor(0.9997, device='cuda:0')","tensor(0.4555, device='cuda:0')","tensor(0.4634, device='cuda:0')","tensor(0.0001, device='cuda:0')"
103,"tensor(0.0557, device='cuda:0')","tensor(0.0044, device='cuda:0')","tensor(2.7143, device='cuda:0')","tensor(0.8110, device='cuda:0')","tensor(0.2116, device='cuda:0')","tensor(1.2591, device='cuda:0')","tensor(1.0000, device='cuda:0')","tensor(0.4728, device='cuda:0')","tensor(0.5779, device='cuda:0')","tensor(0.1663, device='cuda:0')"
104,"tensor(0.0528, device='cuda:0')","tensor(0.0047, device='cuda:0')","tensor(10.2423, device='cuda:0')","tensor(0.8531, device='cuda:0')","tensor(0.1048, device='cuda:0')","tensor(1.2903, device='cuda:0')","tensor(0.9294, device='cuda:0')","tensor(0.4607, device='cuda:0')","tensor(0.5694, device='cuda:0')","tensor(0.0014, device='cuda:0')"
105,"tensor(0.0588, device='cuda:0')","tensor(0.0065, device='cuda:0')","tensor(15.8692, device='cuda:0')","tensor(0.8492, device='cuda:0')","tensor(0.0007, device='cuda:0')","tensor(1.3550, device='cuda:0')","tensor(1.0000, device='cuda:0')","tensor(0.4364, device='cuda:0')","tensor(0.5145, device='cuda:0')","tensor(0.0007, device='cuda:0')"
106,"tensor(0.0605, device='cuda:0')","tensor(0.0066, device='cuda:0')","tensor(10.3791, device='cuda:0')","tensor(0.9886, device='cuda:0')","tensor(0.0058, device='cuda:0')","tensor(1.2642, device='cuda:0')","tensor(0.9985, device='cuda:0')","tensor(0.4558, device='cuda:0')","tensor(0.5654, device='cuda:0')","tensor(0.0043, device='cuda:0')"
107,"tensor(0.0558, device='cuda:0')","tensor(0.0056, device='cuda:0')","tensor(10.7970, device='cuda:0')","tensor(0.8201, device='cuda:0')","tensor(0.0067, device='cuda:0')","tensor(1.2079, device='cuda:0')","tensor(0.9973, device='cuda:0')","tensor(0.4525, device='cuda:0')","tensor(0.5701, device='cuda:0')","tensor(0.0039, device='cuda:0')"
108,"tensor(0.0477, device='cuda:0')","tensor(0.0037, device='cuda:0')","tensor(9.1812, device='cuda:0')","tensor(0.7723, device='cuda:0')","tensor(0.0087, device='cuda:0')","tensor(1.1774, device='cuda:0')","tensor(0.9931, device='cuda:0')","tensor(0.4823, device='cuda:0')","tensor(0.6277, device='cuda:0')","tensor(0.0016, device='cuda:0')"
109,"tensor(0.0543, device='cuda:0')","tensor(0.0053, device='cuda:0')","tensor(13.0492, device='cuda:0')","tensor(0.9442, device='cuda:0')","tensor(0.0777, device='cuda:0')","tensor(1.0741, device='cuda:0')","tensor(0.9393, device='cuda:0')","tensor(0.4119, device='cuda:0')","tensor(0.6163, device='cuda:0')","tensor(0.0000, device='cuda:0')"
110,"tensor(0.0556, device='cuda:0')","tensor(0.0045, device='cuda:0')","tensor(9.6649, device='cuda:0')","tensor(0.8318, device='cuda:0')","tensor(0.0010, device='cuda:0')","tensor(1.3014, device='cuda:0')","tensor(0.9999, device='cuda:0')","tensor(0.4529, device='cuda:0')","tensor(0.5546, device='cuda:0')","tensor(0.0009, device='cuda:0')"
111,"tensor(0.0582, device='cuda:0')","tensor(0.0061, device='cuda:0')","tensor(11.8016, device='cuda:0')","tensor(0.9089, device='cuda:0')","tensor(0.0041, device='cuda:0')","tensor(1.2652, device='cuda:0')","tensor(1.0000, device='cuda:0')","tensor(0.4220, device='cuda:0')","tensor(0.5158, device='cuda:0')","tensor(0.0040, device='cuda:0')"
112,"tensor(0.0497, device='cuda:0')","tensor(0.0054, device='cuda:0')","tensor(8.3339, device='cuda:0')","tensor(0.8001, device='cuda:0')","tensor(0.0432, device='cuda:0')","tensor(1.3151, device='cuda:0')","tensor(0.9711, device='cuda:0')","tensor(0.4639, device='cuda:0')","tensor(0.5181, device='cuda:0')","tensor(0.0106, device='cuda:0')"
113,"tensor(0.0456, device='cuda:0')","tensor(0.0052, device='cuda:0')","tensor(12.3624, device='cuda:0')","tensor(1.0046, device='cuda:0')","tensor(0.0211, device='cuda:0')","tensor(1.2104, device='cuda:0')","tensor(0.9847, device='cuda:0')","tensor(0.3924, device='cuda:0')","tensor(0.5404, device='cuda:0')","tensor(0.0051, device='cuda:0')"
114,"tensor(0.0497, device='cuda:0')","tensor(0.0047, device='cuda:0')","tensor(11.7722, device='cuda:0')","tensor(0.7677, device='cuda:0')","tensor(0.0944, device='cuda:0')","tensor(1.4674, device='cuda:0')","tensor(0.9336, device='cuda:0')","tensor(0.4735, device='cuda:0')","tensor(0.4820, device='cuda:0')","tensor(0.0005, device='cuda:0')"
115,"tensor(0.0558, device='cuda:0')","tensor(0.0057, device='cuda:0')","tensor(12.1762, device='cuda:0')","tensor(0.7388, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(1.3804, device='cuda:0')","tensor(0.9923, device='cuda:0')","tensor(0.5025, device='cuda:0')","tensor(0.5494, device='cuda:0')","tensor(0.0000, device='cuda:0')"
116,"tensor(0.0516, device='cuda:0')","tensor(0.0044, device='cuda:0')","tensor(12.5796, device='cuda:0')","tensor(0.8808, device='cuda:0')","tensor(0.0024, device='cuda:0')","tensor(1.3093, device='cuda:0')","tensor(0.9982, device='cuda:0')","tensor(0.4246, device='cuda:0')","tensor(0.5072, device='cuda:0')","tensor(0.0006, device='cuda:0')"
117,"tensor(0.0566, device='cuda:0')","tensor(0.0063, device='cuda:0')","tensor(10.5799, device='cuda:0')","tensor(0.7826, device='cuda:0')","tensor(0.0398, device='cuda:0')","tensor(1.3939, device='cuda:0')","tensor(0.9659, device='cuda:0')","tensor(0.4764, device='cuda:0')","tensor(0.4970, device='cuda:0')","tensor(0.0001, device='cuda:0')"
118,"tensor(0.0539, device='cuda:0')","tensor(0.0046, device='cuda:0')","tensor(11.2748, device='cuda:0')","tensor(0.8436, device='cuda:0')","tensor(0.0103, device='cuda:0')","tensor(1.1126, device='cuda:0')","tensor(0.9933, device='cuda:0')","tensor(0.4365, device='cuda:0')","tensor(0.6152, device='cuda:0')","tensor(0.0035, device='cuda:0')"
119,"tensor(0.0546, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(13.9552, device='cuda:0')","tensor(0.9051, device='cuda:0')","tensor(0.3445, device='cuda:0')","tensor(1.2442, device='cuda:0')","tensor(0.8802, device='cuda:0')","tensor(0.4266, device='cuda:0')","tensor(0.5456, device='cuda:0')","tensor(0.0002, device='cuda:0')"
120,"tensor(0.0453, device='cuda:0')","tensor(0.0047, device='cuda:0')","tensor(12.2583, device='cuda:0')","tensor(0.7974, device='cuda:0')","tensor(0.2521, device='cuda:0')","tensor(1.2130, device='cuda:0')","tensor(0.9981, device='cuda:0')","tensor(0.4657, device='cuda:0')","tensor(0.5859, device='cuda:0')","tensor(0.1096, device='cuda:0')"
121,"tensor(0.0539, device='cuda:0')","tensor(0.0058, device='cuda:0')","tensor(15.3747, device='cuda:0')","tensor(0.6842, device='cuda:0')","tensor(0.0142, device='cuda:0')","tensor(1.1876, device='cuda:0')","tensor(0.9995, device='cuda:0')","tensor(0.5213, device='cuda:0')","tensor(0.6782, device='cuda:0')","tensor(0.0130, device='cuda:0')"
122,"tensor(0.0543, device='cuda:0')","tensor(0.0062, device='cuda:0')","tensor(10.6428, device='cuda:0')","tensor(0.7709, device='cuda:0')","tensor(0.0003, device='cuda:0')","tensor(1.3215, device='cuda:0')","tensor(1.0000, device='cuda:0')","tensor(0.4816, device='cuda:0')","tensor(0.5499, device='cuda:0')","tensor(0.0003, device='cuda:0')"
123,"tensor(0.0519, device='cuda:0')","tensor(0.0045, device='cuda:0')","tensor(10.9542, device='cuda:0')","tensor(0.8274, device='cuda:0')","tensor(0.0112, device='cuda:0')","tensor(1.0865, device='cuda:0')","tensor(0.9985, device='cuda:0')","tensor(0.4443, device='cuda:0')","tensor(0.6315, device='cuda:0')","tensor(0.0094, device='cuda:0')"
124,"tensor(0.0471, device='cuda:0')","tensor(0.0033, device='cuda:0')","tensor(9.5879, device='cuda:0')","tensor(0.6704, device='cuda:0')","tensor(0.0065, device='cuda:0')","tensor(1.3869, device='cuda:0')","tensor(0.9942, device='cuda:0')","tensor(0.5246, device='cuda:0')","tensor(0.5581, device='cuda:0')","tensor(0.0006, device='cuda:0')"
125,"tensor(0.0508, device='cuda:0')","tensor(0.0053, device='cuda:0')","tensor(11.2784, device='cuda:0')","tensor(0.7545, device='cuda:0')","tensor(0.0678, device='cuda:0')","tensor(1.3197, device='cuda:0')","tensor(0.9461, device='cuda:0')","tensor(0.4873, device='cuda:0')","tensor(0.5662, device='cuda:0')","tensor(0.0003, device='cuda:0')"
126,"tensor(0.0488, device='cuda:0')","tensor(0.0056, device='cuda:0')","tensor(12.6910, device='cuda:0')","tensor(0.8672, device='cuda:0')","tensor(0.0238, device='cuda:0')","tensor(1.2209, device='cuda:0')","tensor(0.9999, device='cuda:0')","tensor(0.4352, device='cuda:0')","tensor(0.5514, device='cuda:0')","tensor(0.0225, device='cuda:0')"
127,"tensor(0.0459, device='cuda:0')","tensor(0.0049, device='cuda:0')","tensor(9.2153, device='cuda:0')","tensor(0.8142, device='cuda:0')","tensor(0.0073, device='cuda:0')","tensor(1.3548, device='cuda:0')","tensor(0.9990, device='cuda:0')","tensor(0.4655, device='cuda:0')","tensor(0.5188, device='cuda:0')","tensor(0.0062, device='cuda:0')"
128,"tensor(0.0560, device='cuda:0')","tensor(0.0055, device='cuda:0')","tensor(9.8636, device='cuda:0')","tensor(0.6657, device='cuda:0')","tensor(0.0264, device='cuda:0')","tensor(1.3876, device='cuda:0')","tensor(0.9775, device='cuda:0')","tensor(0.5285, device='cuda:0')","tensor(0.5799, device='cuda:0')","tensor(0.0023, device='cuda:0')"
129,"tensor(0.0463, device='cuda:0')","tensor(0.0043, device='cuda:0')","tensor(11.0263, device='cuda:0')","tensor(0.6385, device='cuda:0')","tensor(0.0007, device='cuda:0')","tensor(1.3927, device='cuda:0')","tensor(0.9998, device='cuda:0')","tensor(0.5368, device='cuda:0')","tensor(0.5650, device='cuda:0')","tensor(0.0006, device='cuda:0')"
130,"tensor(0.0549, device='cuda:0')","tensor(0.0049, device='cuda:0')","tensor(12.4846, device='cuda:0')","tensor(0.6612, device='cuda:0')","tensor(0.1489, device='cuda:0')","tensor(1.2518, device='cuda:0')","tensor(0.9130, device='cuda:0')","tensor(0.5275, device='cuda:0')","tensor(0.6391, device='cuda:0')","tensor(0.0002, device='cuda:0')"
131,"tensor(0.0503, device='cuda:0')","tensor(0.0072, device='cuda:0')","tensor(14.5343, device='cuda:0')","tensor(1.1010, device='cuda:0')","tensor(0.0040, device='cuda:0')","tensor(1.0540, device='cuda:0')","tensor(0.9973, device='cuda:0')","tensor(0.3658, device='cuda:0')","tensor(0.5980, device='cuda:0')","tensor(0.0012, device='cuda:0')"
132,"tensor(0.0525, device='cuda:0')","tensor(0.0054, device='cuda:0')","tensor(7.6346, device='cuda:0')","tensor(0.7962, device='cuda:0')","tensor(0.0047, device='cuda:0')","tensor(1.2480, device='cuda:0')","tensor(1.0000, device='cuda:0')","tensor(0.4588, device='cuda:0')","tensor(0.5877, device='cuda:0')","tensor(0.0046, device='cuda:0')"
133,"tensor(0.0441, device='cuda:0')","tensor(0.0033, device='cuda:0')","tensor(12.1797, device='cuda:0')","tensor(0.7641, device='cuda:0')","tensor(0.0016, device='cuda:0')","tensor(1.2463, device='cuda:0')","tensor(0.9985, device='cuda:0')","tensor(0.4872, device='cuda:0')","tensor(0.6138, device='cuda:0')","tensor(0.0001, device='cuda:0')"
134,"tensor(0.0478, device='cuda:0')","tensor(0.0053, device='cuda:0')","tensor(7.0583, device='cuda:0')","tensor(0.7070, device='cuda:0')","tensor(0.0730, device='cuda:0')","tensor(1.3699, device='cuda:0')","tensor(0.9917, device='cuda:0')","tensor(0.5128, device='cuda:0')","tensor(0.5732, device='cuda:0')","tensor(0.0513, device='cuda:0')"
135,"tensor(0.0554, device='cuda:0')","tensor(0.0053, device='cuda:0')","tensor(9.3870, device='cuda:0')","tensor(0.9834, device='cuda:0')","tensor(0.0062, device='cuda:0')","tensor(1.1669, device='cuda:0')","tensor(0.9950, device='cuda:0')","tensor(0.3995, device='cuda:0')","tensor(0.5461, device='cuda:0')","tensor(0.0011, device='cuda:0')"
136,"tensor(0.0498, device='cuda:0')","tensor(0.0056, device='cuda:0')","tensor(8.4870, device='cuda:0')","tensor(0.8760, device='cuda:0')","tensor(0.0055, device='cuda:0')","tensor(1.5012, device='cuda:0')","tensor(0.9984, device='cuda:0')","tensor(0.4431, device='cuda:0')","tensor(0.4301, device='cuda:0')","tensor(0.0039, device='cuda:0')"
137,"tensor(0.0533, device='cuda:0')","tensor(0.0045, device='cuda:0')","tensor(9.2738, device='cuda:0')","tensor(0.5890, device='cuda:0')","tensor(0.0081, device='cuda:0')","tensor(1.7330, device='cuda:0')","tensor(0.9970, device='cuda:0')","tensor(0.5695, device='cuda:0')","tensor(0.4676, device='cuda:0')","tensor(0.0049, device='cuda:0')"
138,"tensor(0.0534, device='cuda:0')","tensor(0.0045, device='cuda:0')","tensor(10.2113, device='cuda:0')","tensor(0.6974, device='cuda:0')","tensor(0.0090, device='cuda:0')","tensor(1.3217, device='cuda:0')","tensor(0.9964, device='cuda:0')","tensor(0.5071, device='cuda:0')","tensor(0.5791, device='cuda:0')","tensor(0.0053, device='cuda:0')"
139,"tensor(0.0481, device='cuda:0')","tensor(0.0056, device='cuda:0')","tensor(10.8246, device='cuda:0')","tensor(1.0511, device='cuda:0')","tensor(0.0010, device='cuda:0')","tensor(1.1388, device='cuda:0')","tensor(0.9999, device='cuda:0')","tensor(0.3618, device='cuda:0')","tensor(0.5274, device='cuda:0')","tensor(0.0009, device='cuda:0')"
140,"tensor(0.0565, device='cuda:0')","tensor(0.0073, device='cuda:0')","tensor(9.0132, device='cuda:0')","tensor(0.9074, device='cuda:0')","tensor(0.0018, device='cuda:0')","tensor(1.2741, device='cuda:0')","tensor(1.0000, device='cuda:0')","tensor(0.4441, device='cuda:0')","tensor(0.5487, device='cuda:0')","tensor(0.0018, device='cuda:0')"
141,"tensor(0.0549, device='cuda:0')","tensor(0.0050, device='cuda:0')","tensor(16.1982, device='cuda:0')","tensor(0.9905, device='cuda:0')","tensor(0.0052, device='cuda:0')","tensor(1.0832, device='cuda:0')","tensor(0.9949, device='cuda:0')","tensor(0.3850, device='cuda:0')","tensor(0.5728, device='cuda:0')","tensor(0.0000, device='cuda:0')"
142,"tensor(0.0495, device='cuda:0')","tensor(0.0050, device='cuda:0')","tensor(9.9971, device='cuda:0')","tensor(0.7967, device='cuda:0')","tensor(0.0015, device='cuda:0')","tensor(1.3208, device='cuda:0')","tensor(0.9993, device='cuda:0')","tensor(0.4632, device='cuda:0')","tensor(0.5210, device='cuda:0')","tensor(0.0008, device='cuda:0')"
143,"tensor(0.0483, device='cuda:0')","tensor(0.0054, device='cuda:0')","tensor(7.7511, device='cuda:0')","tensor(0.8808, device='cuda:0')","tensor(0.0103, device='cuda:0')","tensor(1.2637, device='cuda:0')","tensor(0.9927, device='cuda:0')","tensor(0.4225, device='cuda:0')","tensor(0.5047, device='cuda:0')","tensor(0.0028, device='cuda:0')"
144,"tensor(0.0524, device='cuda:0')","tensor(0.0062, device='cuda:0')","tensor(15.6601, device='cuda:0')","tensor(0.9911, device='cuda:0')","tensor(0.0023, device='cuda:0')","tensor(1.2398, device='cuda:0')","tensor(0.9999, device='cuda:0')","tensor(0.3804, device='cuda:0')","tensor(0.4963, device='cuda:0')","tensor(0.0021, device='cuda:0')"
145,"tensor(0.0496, device='cuda:0')","tensor(0.0068, device='cuda:0')","tensor(9.3749, device='cuda:0')","tensor(0.8678, device='cuda:0')","tensor(0.0070, device='cuda:0')","tensor(1.1677, device='cuda:0')","tensor(0.9990, device='cuda:0')","tensor(0.4377, device='cuda:0')","tensor(0.5921, device='cuda:0')","tensor(0.0059, device='cuda:0')"
146,"tensor(0.0519, device='cuda:0')","tensor(0.0055, device='cuda:0')","tensor(9.7290, device='cuda:0')","tensor(0.8266, device='cuda:0')","tensor(0.0020, device='cuda:0')","tensor(1.2570, device='cuda:0')","tensor(0.9989, device='cuda:0')","tensor(0.4482, device='cuda:0')","tensor(0.5402, device='cuda:0')","tensor(0.0009, device='cuda:0')"
