epoch,EG_L1_loss,G_tv_loss,G_img_loss,Ez_loss,D_loss,Dz_loss,D_img,D_z,D_z_prior,D_reconst
17,"tensor(0.0906, device='cuda:0')","tensor(0.0046, device='cuda:0')","tensor(6.9823, device='cuda:0')","tensor(0.7962, device='cuda:0')","tensor(0.1000, device='cuda:0')","tensor(1.2276, device='cuda:0')","tensor(1.0000, device='cuda:0')","tensor(0.4617, device='cuda:0')","tensor(0.5632, device='cuda:0')","tensor(0.0743, device='cuda:0')"
18,"tensor(0.0955, device='cuda:0')","tensor(0.0045, device='cuda:0')","tensor(12.0189, device='cuda:0')","tensor(0.9760, device='cuda:0')","tensor(0.0629, device='cuda:0')","tensor(1.3646, device='cuda:0')","tensor(0.9516, device='cuda:0')","tensor(0.3994, device='cuda:0')","tensor(0.4490, device='cuda:0')","tensor(0.0018, device='cuda:0')"
19,"tensor(0.0881, device='cuda:0')","tensor(0.0047, device='cuda:0')","tensor(12.0489, device='cuda:0')","tensor(0.6562, device='cuda:0')","tensor(0.0310, device='cuda:0')","tensor(1.4369, device='cuda:0')","tensor(0.9745, device='cuda:0')","tensor(0.5297, device='cuda:0')","tensor(0.5291, device='cuda:0')","tensor(0.0025, device='cuda:0')"
20,"tensor(0.0818, device='cuda:0')","tensor(0.0037, device='cuda:0')","tensor(5.2571, device='cuda:0')","tensor(0.6678, device='cuda:0')","tensor(0.6099, device='cuda:0')","tensor(1.2925, device='cuda:0')","tensor(0.9964, device='cuda:0')","tensor(0.5176, device='cuda:0')","tensor(0.5810, device='cuda:0')","tensor(0.2452, device='cuda:0')"
21,"tensor(0.0836, device='cuda:0')","tensor(0.0030, device='cuda:0')","tensor(9.7041, device='cuda:0')","tensor(0.6354, device='cuda:0')","tensor(0.0045, device='cuda:0')","tensor(1.5447, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0.5446, device='cuda:0')","tensor(0.4955, device='cuda:0')","tensor(0.0023, device='cuda:0')"
22,"tensor(0.0771, device='cuda:0')","tensor(0.0039, device='cuda:0')","tensor(6.9904, device='cuda:0')","tensor(0.7783, device='cuda:0')","tensor(0.0052, device='cuda:0')","tensor(1.4418, device='cuda:0')","tensor(0.9992, device='cuda:0')","tensor(0.4822, device='cuda:0')","tensor(0.4850, device='cuda:0')","tensor(0.0044, device='cuda:0')"
23,"tensor(0.0739, device='cuda:0')","tensor(0.0043, device='cuda:0')","tensor(11.2131, device='cuda:0')","tensor(0.9922, device='cuda:0')","tensor(0.1961, device='cuda:0')","tensor(1.2026, device='cuda:0')","tensor(0.8877, device='cuda:0')","tensor(0.3983, device='cuda:0')","tensor(0.5352, device='cuda:0')","tensor(0.0002, device='cuda:0')"
24,"tensor(0.0812, device='cuda:0')","tensor(0.0038, device='cuda:0')","tensor(5.8880, device='cuda:0')","tensor(0.7981, device='cuda:0')","tensor(0.6262, device='cuda:0')","tensor(1.3303, device='cuda:0')","tensor(0.9796, device='cuda:0')","tensor(0.4743, device='cuda:0')","tensor(0.5308, device='cuda:0')","tensor(0.2364, device='cuda:0')"
25,"tensor(0.0813, device='cuda:0')","tensor(0.0037, device='cuda:0')","tensor(10.0097, device='cuda:0')","tensor(0.5997, device='cuda:0')","tensor(0.0331, device='cuda:0')","tensor(1.4396, device='cuda:0')","tensor(0.9834, device='cuda:0')","tensor(0.5569, device='cuda:0')","tensor(0.5583, device='cuda:0')","tensor(0.0153, device='cuda:0')"
26,"tensor(0.0694, device='cuda:0')","tensor(0.0041, device='cuda:0')","tensor(15.7830, device='cuda:0')","tensor(0.7706, device='cuda:0')","tensor(0.0726, device='cuda:0')","tensor(1.4397, device='cuda:0')","tensor(0.9388, device='cuda:0')","tensor(0.4993, device='cuda:0')","tensor(0.5212, device='cuda:0')","tensor(4.4644e-06, device='cuda:0')"
